"TreeID","Girth_cm","DateRange","Start_Year","End_Year"
453,326,"2016-2019
",2016,2019
454,114,"2007-2015
",2007,2015
454,124,"2016-2019
",2016,2019
455,154,"2007-2015
",2007,2015
458,243,"2007-2015
",2007,2015
460,85,"2007-2015
",2007,2015
461,101,"2007-2015
",2007,2015
462,92,"2007-2015
",2007,2015
464,104,"2007-2015
",2007,2015
465,52,"2007-2015
",2007,2015
466,78,"2007-2015
",2007,2015
467,114,"2007-2015
",2007,2015
468,82,"2007-2015
",2007,2015
469,39,"2007-2015
",2007,2015
470,105,"2007-2015
",2007,2015
470,118,"2016-2019
",2016,2019
471,132,"2007-2015
",2007,2015
471,132,"2016-2019
",2016,2019
472,93,"2007-2015
",2007,2015
473,158,"2016-2019
",2016,2019
474,210,"2007-2015
",2007,2015
475,113,"2007-2015
",2007,2015
476,88,"2007-2015
",2007,2015
476,83,"2016-2019
",2016,2019
477,37,"2016-2019
",2016,2019
478,128,"2016-2019
",2016,2019
479,37,"2016-2019
",2016,2019
480,280,"2007-2015
",2007,2015
480,283,"2016-2019
",2016,2019
481,267,"2007-2015
",2007,2015
481,271,"2016-2019
",2016,2019
482,181,"2007-2015
",2007,2015
482,185,"2016-2019
",2016,2019
483,178,"2007-2015
",2007,2015
483,178,"2016-2019
",2016,2019
484,29,"2007-2015
",2007,2015
484,36,"2016-2019
",2016,2019
485,84,"2007-2015
",2007,2015
485,93,"2016-2019
",2016,2019
486,349,"2016-2019
",2016,2019
487,141,"2007-2015
",2007,2015
488,52,"2007-2015
",2007,2015
489,32,"2007-2015
",2007,2015
490,92,"2016-2019
",2016,2019
491,73,"2007-2015
",2007,2015
491,83,"2016-2019
",2016,2019
492,36,"2007-2015
",2007,2015
492,38,"2016-2019
",2016,2019
493,103,"2016-2019
",2016,2019
494,64,"2016-2019
",2016,2019
495,68,"2007-2015
",2007,2015
495,69,"2016-2019
",2016,2019
496,135,"2016-2019
",2016,2019
497,135,"2007-2015
",2007,2015
497,196,"2016-2019
",2016,2019
498,89,"2007-2015
",2007,2015
499,209,"2007-2015
",2007,2015
500,76,"2016-2019
",2016,2019
501,168,"2007-2015
",2007,2015
503,80,"2007-2015
",2007,2015
504,153,"2016-2019
",2016,2019
505,68,"2007-2015
",2007,2015
505,62,"2016-2019
",2016,2019
506,43,"2007-2015
",2007,2015
506,48,"2016-2019
",2016,2019
508,104,"2007-2015
",2007,2015
509,81,"2007-2015
",2007,2015
510,116,"2007-2015
",2007,2015
511,94,"2016-2019
",2016,2019
512,258,"2007-2015
",2007,2015
512,260,"2016-2019
",2016,2019
513,272,"2007-2015
",2007,2015
514,172,"2007-2015
",2007,2015
